[2024-03-05 10:26:05,878][INFO][city entered: ramat gan]
[2024-03-08 17:19:02,126][INFO][A user has entered the website]
[2024-03-08 17:19:05,006][INFO][A user has entered the website]
[2024-03-08 17:19:05,036][INFO][A user has entered the website]
[2024-03-08 17:19:09,345][INFO][A user has entered the website]
[2024-03-08 17:19:32,149][INFO][A user has entered the website]
[2024-03-08 17:19:35,017][INFO][A user has entered the website]
[2024-03-08 17:19:35,051][INFO][A user has entered the website]
[2024-03-08 17:19:39,374][INFO][A user has entered the website]
[2024-03-08 17:20:02,178][INFO][A user has entered the website]
[2024-03-08 17:20:05,033][INFO][A user has entered the website]
[2024-03-08 17:20:05,079][INFO][A user has entered the website]
[2024-03-08 17:20:09,387][INFO][A user has entered the website]
[2024-03-08 17:20:32,205][INFO][A user has entered the website]
[2024-03-08 17:20:35,064][INFO][A user has entered the website]
[2024-03-08 17:20:35,097][INFO][A user has entered the website]
[2024-03-08 17:20:38,356][INFO][city entered: Ramle]
[2024-03-08 17:20:39,416][INFO][A user has entered the website]
[2024-03-08 17:21:00,596][INFO][city entered: Ramle]
[2024-03-08 17:21:02,234][INFO][A user has entered the website]
[2024-03-08 17:21:05,091][INFO][A user has entered the website]
[2024-03-08 17:21:05,128][INFO][A user has entered the website]
[2024-03-08 17:21:09,445][INFO][A user has entered the website]
[2024-03-08 17:21:32,265][INFO][A user has entered the website]
[2024-03-08 17:21:35,120][INFO][A user has entered the website]
[2024-03-08 17:21:35,146][INFO][A user has entered the website]
[2024-03-08 17:21:39,467][INFO][A user has entered the website]
[2024-03-08 17:21:42,501][INFO][city entered: Ramle]
[2024-03-08 17:22:02,296][INFO][A user has entered the website]
[2024-03-08 17:22:05,149][INFO][A user has entered the website]
[2024-03-08 17:22:05,161][INFO][A user has entered the website]
[2024-03-08 17:22:09,496][INFO][A user has entered the website]
[2024-03-08 17:22:32,329][INFO][A user has entered the website]
[2024-03-08 17:22:35,162][INFO][A user has entered the website]
[2024-03-08 17:22:35,177][INFO][A user has entered the website]
[2024-03-08 17:22:45,242][INFO][city entered: Ramle]
[2024-03-08 17:23:02,335][INFO][A user has entered the website]
[2024-03-08 17:23:05,178][INFO][A user has entered the website]
[2024-03-08 17:23:05,193][INFO][A user has entered the website]
[2024-03-08 17:23:09,526][INFO][A user has entered the website]
[2024-03-08 17:23:21,892][INFO][city entered: Ramle]
[2024-03-08 17:23:32,353][INFO][A user has entered the website]
[2024-03-08 17:23:35,181][INFO][A user has entered the website]
[2024-03-08 17:23:35,223][INFO][A user has entered the website]
[2024-03-08 17:23:39,557][INFO][A user has entered the website]
[2024-03-08 17:24:02,385][INFO][A user has entered the website]
[2024-03-08 17:24:05,212][INFO][A user has entered the website]
[2024-03-08 17:24:05,226][INFO][A user has entered the website]
[2024-03-08 17:24:09,563][INFO][A user has entered the website]
[2024-03-08 17:24:17,374][INFO][city entered: Ramle]
[2024-03-08 17:24:19,163][INFO][A user has entered the website]
[2024-03-08 17:24:32,413][INFO][A user has entered the website]
[2024-03-08 17:24:35,240][INFO][A user has entered the website]
[2024-03-08 17:24:35,242][INFO][A user has entered the website]
[2024-03-08 17:24:39,591][INFO][A user has entered the website]
[2024-03-08 17:25:02,421][INFO][A user has entered the website]
[2024-03-08 17:25:05,269][INFO][A user has entered the website]
[2024-03-08 17:25:05,273][INFO][A user has entered the website]
[2024-03-08 17:25:09,621][INFO][A user has entered the website]
[2024-03-08 17:25:32,452][INFO][A user has entered the website]
[2024-03-08 17:25:35,300][INFO][A user has entered the website]
[2024-03-08 17:25:35,304][INFO][A user has entered the website]
[2024-03-08 17:25:39,643][INFO][A user has entered the website]
[2024-03-08 17:25:40,874][INFO][city entered: Ramle]
[2024-03-08 17:26:02,453][INFO][A user has entered the website]
[2024-03-08 17:26:05,308][INFO][A user has entered the website]
[2024-03-08 17:26:05,331][INFO][A user has entered the website]
[2024-03-08 17:26:09,671][INFO][A user has entered the website]
[2024-03-08 17:26:32,481][INFO][A user has entered the website]
[2024-03-08 17:26:35,338][INFO][A user has entered the website]
[2024-03-08 17:26:35,363][INFO][A user has entered the website]
[2024-03-08 17:26:39,701][INFO][A user has entered the website]
[2024-03-08 17:27:02,509][INFO][A user has entered the website]
[2024-03-08 17:27:05,357][INFO][A user has entered the website]
[2024-03-08 17:27:05,395][INFO][A user has entered the website]
[2024-03-08 17:27:09,731][INFO][A user has entered the website]
[2024-03-08 17:27:32,537][INFO][A user has entered the website]
[2024-03-08 17:27:35,377][INFO][A user has entered the website]
[2024-03-08 17:27:35,424][INFO][A user has entered the website]
[2024-03-08 17:27:39,743][INFO][A user has entered the website]
[2024-03-08 17:27:50,382][INFO][A user has entered the website]
[2024-03-08 17:28:02,549][INFO][A user has entered the website]
[2024-03-08 17:28:05,394][INFO][A user has entered the website]
[2024-03-08 17:28:05,454][INFO][A user has entered the website]
[2024-03-08 17:28:09,770][INFO][A user has entered the website]
[2024-03-08 17:28:32,580][INFO][A user has entered the website]
[2024-03-08 17:28:35,425][INFO][A user has entered the website]
[2024-03-08 17:28:35,478][INFO][A user has entered the website]
[2024-03-08 17:28:39,798][INFO][A user has entered the website]
[2024-03-08 17:29:02,605][INFO][A user has entered the website]
[2024-03-08 17:29:05,438][INFO][A user has entered the website]
[2024-03-08 17:29:05,488][INFO][A user has entered the website]
[2024-03-08 17:29:09,812][INFO][A user has entered the website]
[2024-03-08 17:29:33,036][INFO][A user has entered the website]
[2024-03-08 17:29:35,494][INFO][city entered: Ramle]
[2024-03-08 17:29:36,273][INFO][A user has entered the website]
[2024-03-08 17:29:36,279][INFO][A user has entered the website]
[2024-03-08 17:29:39,842][INFO][A user has entered the website]
[2024-03-08 17:30:02,667][INFO][A user has entered the website]
[2024-03-08 17:30:05,493][INFO][A user has entered the website]
[2024-03-08 17:30:05,549][INFO][A user has entered the website]
[2024-03-08 17:30:09,848][INFO][A user has entered the website]
[2024-03-08 17:30:26,764][INFO][A user has entered the website]
[2024-03-08 17:30:32,691][INFO][A user has entered the website]
[2024-03-08 17:30:35,522][INFO][A user has entered the website]
[2024-03-08 17:30:35,574][INFO][A user has entered the website]
[2024-03-08 17:30:39,877][INFO][A user has entered the website]
[2024-03-08 17:31:02,709][INFO][A user has entered the website]
[2024-03-08 17:31:05,543][INFO][A user has entered the website]
[2024-03-08 17:31:05,605][INFO][A user has entered the website]
[2024-03-08 17:31:09,906][INFO][A user has entered the website]
[2024-03-08 17:31:32,725][INFO][A user has entered the website]
[2024-03-08 17:31:35,573][INFO][A user has entered the website]
[2024-03-08 17:31:35,634][INFO][A user has entered the website]
[2024-03-08 17:31:39,937][INFO][A user has entered the website]
[2024-03-08 17:31:45,251][INFO][city entered: Ramle]
[2024-03-08 17:32:02,745][INFO][A user has entered the website]
[2024-03-08 17:32:04,602][INFO][city entered: Ramle]
[2024-03-08 17:32:05,579][INFO][A user has entered the website]
[2024-03-08 17:32:05,648][INFO][A user has entered the website]
[2024-03-08 17:32:09,966][INFO][A user has entered the website]
[2024-03-08 17:32:32,763][INFO][A user has entered the website]
[2024-03-08 17:32:36,304][INFO][A user has entered the website]
[2024-03-08 17:32:36,305][INFO][A user has entered the website]
[2024-03-08 17:32:39,992][INFO][A user has entered the website]
[2024-03-08 17:32:58,207][INFO][city entered: Ramle]
[2024-03-08 17:33:02,777][INFO][A user has entered the website]
[2024-03-08 17:33:05,592][INFO][A user has entered the website]
[2024-03-08 17:33:05,707][INFO][A user has entered the website]
[2024-03-08 17:33:10,003][INFO][A user has entered the website]
[2024-03-08 17:33:32,786][INFO][A user has entered the website]
[2024-03-08 17:33:33,803][INFO][city entered: Ramle]
[2024-03-08 17:33:35,617][INFO][A user has entered the website]
[2024-03-08 17:33:35,734][INFO][A user has entered the website]
[2024-03-08 17:33:40,034][INFO][A user has entered the website]
[2024-03-08 17:34:02,793][INFO][A user has entered the website]
[2024-03-08 17:34:05,625][INFO][A user has entered the website]
[2024-03-08 17:34:05,751][INFO][A user has entered the website]
[2024-03-08 17:34:10,054][INFO][A user has entered the website]
[2024-03-08 17:34:32,813][INFO][A user has entered the website]
[2024-03-08 17:34:35,626][INFO][A user has entered the website]
[2024-03-08 17:34:35,778][INFO][A user has entered the website]
[2024-03-08 17:34:40,083][INFO][A user has entered the website]
[2024-03-08 17:34:42,063][INFO][city entered: Ramle]
[2024-03-08 17:35:02,840][INFO][A user has entered the website]
[2024-03-08 17:35:05,657][INFO][A user has entered the website]
[2024-03-08 17:35:05,806][INFO][A user has entered the website]
[2024-03-08 17:35:10,113][INFO][A user has entered the website]
[2024-03-08 17:35:32,849][INFO][A user has entered the website]
[2024-03-08 17:35:35,685][INFO][A user has entered the website]
[2024-03-08 17:35:35,830][INFO][A user has entered the website]
[2024-03-08 17:35:40,144][INFO][A user has entered the website]
[2024-03-08 17:36:02,855][INFO][A user has entered the website]
[2024-03-08 17:36:05,713][INFO][A user has entered the website]
[2024-03-08 17:36:05,861][INFO][A user has entered the website]
[2024-03-08 17:36:10,174][INFO][A user has entered the website]
[2024-03-08 17:36:32,876][INFO][A user has entered the website]
[2024-03-08 17:36:35,491][WARNING][invalid city has been entered: asdyiugwad]
[2024-03-08 17:36:35,743][INFO][A user has entered the website]
[2024-03-08 17:36:35,890][INFO][A user has entered the website]
[2024-03-08 17:36:40,202][INFO][A user has entered the website]
[2024-03-08 17:37:02,884][INFO][A user has entered the website]
[2024-03-08 17:37:05,774][INFO][A user has entered the website]
[2024-03-08 17:37:05,918][INFO][A user has entered the website]
[2024-03-08 17:37:10,218][INFO][A user has entered the website]
[2024-03-08 17:37:32,915][INFO][A user has entered the website]
[2024-03-08 17:37:35,837][INFO][A user has entered the website]
[2024-03-08 17:37:35,920][INFO][A user has entered the website]
[2024-03-08 17:37:37,346][WARNING][invalid city has been entered: asdyiugwad]
[2024-03-08 17:37:40,246][INFO][A user has entered the website]
[2024-03-08 17:37:49,978][WARNING][invalid city has been entered: asdyiugwad]
[2024-03-08 17:38:02,921][INFO][A user has entered the website]
[2024-03-08 17:38:05,808][INFO][A user has entered the website]
[2024-03-08 17:38:05,938][INFO][A user has entered the website]
[2024-03-08 17:38:10,278][INFO][A user has entered the website]
[2024-03-08 17:38:13,553][INFO][city entered: Ramle]
[2024-03-08 17:38:32,951][INFO][A user has entered the website]
[2024-03-08 17:38:35,838][INFO][A user has entered the website]
[2024-03-08 17:38:35,969][INFO][A user has entered the website]
[2024-03-08 17:38:40,291][INFO][A user has entered the website]
[2024-03-08 17:39:02,981][INFO][A user has entered the website]
[2024-03-08 17:39:05,953][INFO][A user has entered the website]
[2024-03-08 17:39:05,993][INFO][A user has entered the website]
[2024-03-08 17:39:08,185][INFO][city entered: Ramle]
[2024-03-08 17:39:10,320][INFO][A user has entered the website]
[2024-03-08 17:39:33,011][INFO][A user has entered the website]
[2024-03-08 17:39:35,877][INFO][A user has entered the website]
[2024-03-08 17:39:36,023][INFO][A user has entered the website]
[2024-03-08 17:39:40,350][INFO][A user has entered the website]
[2024-03-08 17:40:03,024][INFO][A user has entered the website]
[2024-03-08 17:40:05,881][INFO][A user has entered the website]
[2024-03-08 17:40:06,050][INFO][A user has entered the website]
[2024-03-08 17:40:10,374][INFO][A user has entered the website]
[2024-03-08 17:40:33,055][INFO][A user has entered the website]
[2024-03-08 17:40:35,909][INFO][A user has entered the website]
[2024-03-08 17:40:36,079][INFO][A user has entered the website]
[2024-03-08 17:40:40,402][INFO][A user has entered the website]
[2024-03-08 17:40:55,457][INFO][city entered: Ramle]
[2024-03-08 17:41:06,127][INFO][A user has entered the website]
[2024-03-08 17:41:06,128][INFO][A user has entered the website]
[2024-03-08 17:41:06,129][INFO][A user has entered the website]
[2024-03-08 17:41:06,130][INFO][A user has entered the website]
[2024-03-08 17:41:10,422][INFO][A user has entered the website]
[2024-03-08 17:41:33,105][INFO][A user has entered the website]
[2024-03-08 17:41:35,967][INFO][A user has entered the website]
[2024-03-08 17:41:36,101][INFO][A user has entered the website]
[2024-03-08 17:41:40,453][INFO][A user has entered the website]
[2024-03-08 17:42:03,136][INFO][A user has entered the website]
[2024-03-08 17:42:05,997][INFO][A user has entered the website]
[2024-03-08 17:42:06,123][INFO][A user has entered the website]
[2024-03-08 17:42:10,482][INFO][A user has entered the website]
[2024-03-08 17:42:33,142][INFO][A user has entered the website]
[2024-03-08 17:42:36,005][INFO][A user has entered the website]
[2024-03-08 17:42:36,151][INFO][A user has entered the website]
[2024-03-08 17:42:40,513][INFO][A user has entered the website]
[2024-03-08 17:42:49,893][INFO][city entered: Ramle]
[2024-03-08 17:43:03,169][INFO][A user has entered the website]
[2024-03-08 17:43:06,036][INFO][A user has entered the website]
[2024-03-08 17:43:06,178][INFO][A user has entered the website]
[2024-03-08 17:43:10,542][INFO][A user has entered the website]
[2024-03-08 17:43:28,427][INFO][city entered: Ramle]
[2024-03-08 17:43:33,197][INFO][A user has entered the website]
[2024-03-08 17:43:36,066][INFO][A user has entered the website]
[2024-03-08 17:43:36,180][INFO][A user has entered the website]
[2024-03-08 17:43:40,548][INFO][A user has entered the website]
[2024-03-08 17:44:03,198][INFO][A user has entered the website]
[2024-03-08 17:44:06,085][INFO][A user has entered the website]
[2024-03-08 17:44:06,211][INFO][A user has entered the website]
[2024-03-08 17:44:10,553][INFO][A user has entered the website]
[2024-03-08 17:44:33,205][INFO][A user has entered the website]
[2024-03-08 17:44:36,097][INFO][A user has entered the website]
[2024-03-08 17:44:36,238][INFO][A user has entered the website]
[2024-03-08 17:44:38,090][INFO][city entered: Ramle]
[2024-03-08 17:44:40,563][INFO][A user has entered the website]
[2024-03-08 17:44:51,481][INFO][city entered: Ramle]
[2024-03-08 17:45:03,222][INFO][A user has entered the website]
[2024-03-08 17:45:06,125][INFO][A user has entered the website]
[2024-03-08 17:45:06,255][INFO][A user has entered the website]
[2024-03-08 17:45:10,586][INFO][A user has entered the website]
[2024-03-08 17:45:23,690][INFO][city entered: Ramle]
[2024-03-08 17:45:36,377][INFO][A user has entered the website]
[2024-03-08 17:45:36,386][INFO][A user has entered the website]
[2024-03-08 17:45:40,607][INFO][A user has entered the website]
[2024-03-08 17:45:49,747][INFO][city entered: Ramle]
